session,user_id,sku_id,time,price,discount,purchase
6,001BF25EB8094642,2003759,100,8,0,0
13,002275B1CA67BDA1,2003759,66,9.3,1,0
43,0043BF3B3DDE01BC,2003759,60,19,0,0
44,0043BF3B3DDE01BC,2003759,60,9.3,1,0
73,0069839AD0FAE6E2,2003759,120,9,1,0
177,0135CD39AB172D0E,2003759,1023,409,0,0
210,01755778B0C3B56B,2003759,60,9,1,0
307,022819975BABCE86,2003759,120,409,0,0
313,025114C43B1ED2A2,2003759,12,19,0,0
315,025114C43B1ED2A2,2003759,6,9.3,1,0
354,028A7853A34980B8,2003759,1083,9,1,1
340,028A7853A34980B8,2003759,180,13,1,0
353,028A7853A34980B8,2003759,9,9,1,0
456,031D4710F4E90F79,2003759,60,19,0,0
446,031D4710F4E90F79,2003759,60,409,0,0
602,045942BCE085F397,2003759,60,13,1,0
656,04CA12412EA5AEFB,2003759,73,19,0,1
652,04CA12412EA5AEFB,2003759,60,9.3,1,0
716,050763235A3E1A74,2003759,57,409,0,0
843,05A66F0A74A464B9,2003759,60,11,1,1
846,05A66F0A74A464B9,2003759,239,9.3,1,1
865,05A8D8DDDE6B1E7F,2003759,1318,409,0,0
1028,06B334EAB34F6DFC,2003759,30,409,0,0
1062,06D356655B2A5192,2003759,119,409,0,0
1061,06D356655B2A5192,2003759,60,409,0,0
1137,06E936DC4B653F90,2003759,1021,9.3,0,0
1131,06E936DC4B653F90,2003759,13,11,1,0
1128,06E936DC4B653F90,2003759,344,19,0,0
1141,06EC85B0A46252CC,2003759,60,409,0,0
1176,07262B30B5A2C019,2003759,527,8,0,1
1180,07262B30B5A2C019,2003759,120,13.5,0,0
1179,07262B30B5A2C019,2003759,60,19,0,0
1171,07262B30B5A2C019,2003759,184,13,1,0
1164,07262B30B5A2C019,2003759,34,19,0,0
1155,07262B30B5A2C019,2003759,201,409,0,0
1273,07BF66154A133B0D,2003759,180,409,0,0
1269,07BF66154A133B0D,2003759,0,409,0,0
1335,07C284206DA7E49F,2003759,1083,9.25,1,1
1336,07C284206DA7E49F,2003759,337,19,0,1
1334,07C284206DA7E49F,2003759,60,9,1,0
1333,07C284206DA7E49F,2003759,60,8,0,0
1330,07C284206DA7E49F,2003759,60,9.3,1,0
1329,07C284206DA7E49F,2003759,60,9.3,0,0
1398,080C3DCA164052B6,2003759,60,9,1,0
1397,080C3DCA164052B6,2003759,60,9.3,1,0
1399,080C3DCA164052B6,2003759,844,19,0,0
1452,08C62160A46AF1E8,2003759,1376,409,0,0
1480,08D9B96A9CEF8AC9,2003759,60,409,0,0
1477,08D9B96A9CEF8AC9,2003759,60,409,0,0
1496,08E183175BD7A535,2003759,60,9.3,1,1
1527,090C53FCC328B1B6,2003759,2,409,0,0
1570,093AAC976D4CFA19,2003759,60,409,0,0
1740,0AC59A259FCF8395,2003759,60,409,0,0
1788,0AF64206915D311B,2003759,60,19,0,1
1787,0AF64206915D311B,2003759,60,9,1,0
1786,0AF64206915D311B,2003759,60,9,1,0
1785,0AF64206915D311B,2003759,60,11,1,0
1769,0AF64206915D311B,2003759,60,19,0,0
1899,0C0E489D2A010079,2003759,554,13,1,0
1913,0C1719013AAF3215,2003759,60,409,0,0
1998,0C8E7911F6C44E22,2003759,67,9,1,1
2065,0D41A5E977712207,2003759,669,19,0,1
2102,0D87712FABF06568,2003759,18,9.3,1,0
2183,0E1FCDD6DF17F3B6,2003759,494,9.5,1,0
2330,0F801E9854B5CCAC,2003759,266,9.3,1,1
2463,10509507AF61F10E,2003759,32,19,0,0
2454,10509507AF61F10E,2003759,60,19,0,0
2590,10AC10AD46E7319E,2003759,22,9.5,1,1
2643,1109746BF8CABE2D,2003759,1,409,0,0
2813,12E45BC31A0B8C80,2003759,60,9,1,0
2810,12E45BC31A0B8C80,2003759,67,13,1,0
2895,135B6884ECC2B003,2003759,62,19,0,1
2905,135B6884ECC2B003,2003759,2386,7.5,1,1
2909,135B6884ECC2B003,2003759,266,9.5,1,0
2908,135B6884ECC2B003,2003759,60,9,1,0
2907,135B6884ECC2B003,2003759,60,9,1,0
2906,135B6884ECC2B003,2003759,120,8,0,0
2934,135E30AF490582F1,2003759,60,9,1,0
2933,135E30AF490582F1,2003759,60,9,1,0
2932,135E30AF490582F1,2003759,257,9.3,0,0
2984,13D76460CC4531F9,2003759,60,9.3,0,0
3007,13FACEA747D0366B,2003759,60,409,0,0
3030,1417872DDD36C2C9,2003759,517,409,0,1
3078,148AEA9B0B57470A,2003759,271,9,1,1
3077,148AEA9B0B57470A,2003759,60,8,0,0
3098,149BA21D0ABAFCBB,2003759,298,409,0,1
3147,14E289DE62FED3EB,2003759,168,13,1,1
3206,15419DC58465B0D6,2003759,60,9.3,1,0
3242,15AE9746F800E44F,2003759,60,19,0,0
3363,1627E0F9A1609764,2003759,68,19,0,0
3361,1627E0F9A1609764,2003759,60,9,1,0
3360,1627E0F9A1609764,2003759,60,11,1,0
3356,1627E0F9A1609764,2003759,1948,8,0,0
3355,1627E0F9A1609764,2003759,120,8.65,1,0
3337,1627E0F9A1609764,2003759,67,409,0,0
3409,1644F0A41BAFD96A,2003759,240,9.3,1,0
3455,167876E94E8D9544,2003759,1554,409,0,0
3454,167876E94E8D9544,2003759,1,409,0,0
3493,16C42FC955BD4273,2003759,60,9.3,1,1
3566,172596C07110713A,2003759,161,19,0,0
3801,18B69F9F8538545F,2003759,27,13,1,1
3794,18B69F9F8538545F,2003759,182,409,0,0
3817,18EE4BC16C0F0399,2003759,0,409,0,0
3852,191C42980749BBCC,2003759,60,9.3,1,1
3853,191C42980749BBCC,2003759,60,11.5,1,0
3939,19A0C58E04015CB9,2003759,464,9.3,1,0
3949,19A52D934C02A669,2003759,597,409,0,0
3997,19C2A275C1C0D91A,2003759,60,11.5,1,1
3992,19C2A275C1C0D91A,2003759,60,8,0,1
3992,19C2A275C1C0D91A,2003759,60,8,0,1
3991,19C2A275C1C0D91A,2003759,60,19,0,0
3981,19C2A275C1C0D91A,2003759,11,409,0,0
3993,19C2A275C1C0D91A,2003759,60,19,0,0
4061,19F50E7A412CE610,2003759,120,19,0,1
4062,19F74593973911E9,2003759,60,19,0,1
4080,1A199B1B6A3446A5,2003759,60,19,0,0
4251,1A96CB57BFDCD678,2003759,60,19,0,0
4271,1AAF61556FEC7821,2003759,173,19,0,0
4290,1AC9B49CA47073D9,2003759,60,409,0,0
4300,1ACB60A3A3515D56,2003759,147,9.3,1,0
4299,1ACB60A3A3515D56,2003759,60,9.3,1,0
4320,1AEFB7EC90E8BB9A,2003759,60,409,0,0
4369,1B31E01463BB9446,2003759,5950,19,0,1
4361,1B31E01463BB9446,2003759,48,19,0,0
4431,1B745B4412D08089,2003759,60,19,0,1
4447,1B937B8B560CD6FF,2003759,5,8,0,0
4452,1B972D678E4A388D,2003759,60,19,0,0
4481,1BB40246F013E939,2003759,0,409,0,0
4480,1BB40246F013E939,2003759,55,409,0,0
4625,1CF75FA8AE4E3737,2003759,67,13,1,0
4662,1D4A8F0DE69D49A8,2003759,534,409,0,1
4662,1D4A8F0DE69D49A8,2003759,534,409,0,1
4763,1E34590E6EDFB34B,2003759,72,8,0,1
4765,1E34590E6EDFB34B,2003759,1010,9,1,0
4877,1EF77F0A326CEDD4,2003759,891,9.15,1,1
4853,1EF77F0A326CEDD4,2003759,4135,409,0,1
4876,1EF77F0A326CEDD4,2003759,2271,9.3,0,0
4875,1EF77F0A326CEDD4,2003759,60,8,0,0
4846,1EF77F0A326CEDD4,2003759,440,409,0,0
4845,1EF77F0A326CEDD4,2003759,444,409,0,0
4894,1F059FB169C950DC,2003759,217,9,1,1
4909,1F32DEF7035986B5,2003759,60,19,0,1
4908,1F32DEF7035986B5,2003759,60,9,1,0
4948,1FA179F26260A7D4,2003759,64,409,0,1
5043,204A618BDEC43A9C,2003759,60,11,1,0
5136,208885E1B89DEC93,2003759,60,19,0,1
5232,20FA8BE6F89F3FD7,2003759,67,19,0,1
5232,20FA8BE6F89F3FD7,2003759,67,19,0,1
5260,213B5D9EE9EFCABC,2003759,726,409,0,1
5429,21C5223A1AEF2919,2003759,190,9.5,1,1
5429,21C5223A1AEF2919,2003759,190,9.5,1,1
5426,21C5223A1AEF2919,2003759,2285,9,1,0
5474,21D4C463CB180D55,2003759,197,9,1,1
5473,21D4C463CB180D55,2003759,3471,16.22857143,1,1
5475,21D4C463CB180D55,2003759,66,8,0,0
5459,21D4C463CB180D55,2003759,73,409,0,0
5510,220C2AF1C60A342A,2003759,1298,19,0,1
5509,220C2AF1C60A342A,2003759,60,19,0,0
5540,221E50BC856B4075,2003759,65,9.3,1,1
5547,22352B5AD93EB82A,2003759,60,9,1,1
5587,228A9103F0E29379,2003759,134,13,1,1
5585,228A9103F0E29379,2003759,137,19,0,0
5592,22A1D3931FE03E5F,2003759,161,9.3,1,0
5817,23F14F2E2DDBAC3B,2003759,78,8,0,0
5816,23F14F2E2DDBAC3B,2003759,60,9.3,1,0
5843,2439E317EBBFE8E9,2003759,1140,409,0,0
5972,2535BD793FAA78FD,2003759,0,409,0,0
6085,2608E7CB322DBF70,2003759,57,9.3,1,0
6227,26FF3655AE54E106,2003759,71,409,0,1
6238,26FF3655AE54E106,2003759,62,9.3,1,1
6226,26FF3655AE54E106,2003759,60,409,0,0
6225,26FF3655AE54E106,2003759,60,19,0,0
6254,27121EBBAFE31C62,2003759,60,409,0,0
6264,271D808B2F0A6B42,2003759,2,409,0,0
6291,276AAE3FA4C45707,2003759,60,9,1,0
6301,276B527E70A38E6F,2003759,60,9.3,1,0
6454,27DAB563710BFC20,2003759,60,9,1,0
6453,27DAB563710BFC20,2003759,60,9,1,0
6450,27DAB563710BFC20,2003759,60,9.3,1,0
6449,27DAB563710BFC20,2003759,67,19,0,0
6596,28BF269104871C94,2003759,60,409,0,0
6610,28D5299D66E3AB9A,2003759,72,409,0,0
6646,28E2BE25E3E94B58,2003759,60,7,1,0
6644,28E2BE25E3E94B58,2003759,60,19,0,0
6650,28EB74582936A227,2003759,120,9.3,1,1
6659,28EE9EBD612E469C,2003759,60,9,1,0
6759,29AEE7C6C79D3A83,2003759,204,13,1,0
6779,29F45E35DEFC5652,2003759,174,8,0,0
6860,2A92E78FA5FC039A,2003759,300,409,0,0
6910,2AE1CF8A462153F4,2003759,60,9,1,0
6939,2B1ED645DF0188C0,2003759,214,9.3,1,1
6938,2B1ED645DF0188C0,2003759,60,9,1,0
6937,2B1ED645DF0188C0,2003759,60,9.3,1,0
6936,2B1ED645DF0188C0,2003759,60,8,0,0
6958,2B49DC27F99F4881,2003759,60,19,0,1
6957,2B49DC27F99F4881,2003759,2677,9.5,1,0
6967,2B5DBA626E66031E,2003759,105,9.5,1,1
6993,2BB68602947A5CE8,2003759,60,19,0,0
6995,2BCBCDBBE087DD38,2003759,0,409,0,0
7169,2CA216F2ACFCCF40,2003759,68,9,1,0
7163,2CA216F2ACFCCF40,2003759,60,19,0,0
