user_id,session,date,total_clicks,item_clicks,multi_channel,avg_time_in_one_click,total_time_in_a_session,avg_price,purchase,num_transaction,discount,purchase_discount,new,weekday,weekend,year,week,month
0045F73263CC3F10,48,30-Aug-16,1,1,0,60,60,,0,0,0,0,0,3,0,2016,36,8
0050219FB38B16F7,49,18-Dec-16,1,1,0,60,60,82,0,0,1,0,0,1,1,2016,52,12
0050219FB38B16F7,50,11-Dec-16,1,1,0,60,60,59,0,0,1,0,0,1,1,2016,51,12
0050219FB38B16F7,51,5-Dec-16,1,1,0,60,60,165,0,0,1,0,0,2,0,2016,50,12
0050219FB38B16F7,52,17-Nov-16,1,1,0,360,360,219,0,0,1,0,0,5,0,2016,47,11
0050219FB38B16F7,53,8-Nov-16,1,1,0,60,60,82,0,0,1,0,0,3,0,2016,46,11
0050219FB38B16F7,54,23-Aug-16,4,4,0,133.75,535,65.125,0,0,1,0,0,3,0,2016,35,8
0050219FB38B16F7,55,21-Aug-16,3,3,0,40.66666667,122,64.93333333,0,0,1,0,0,1,1,2016,35,8
0050219FB38B16F7,56,4-Aug-16,1,1,0,60,60,89,0,0,1,0,0,5,0,2016,32,8
0050219FB38B16F7,57,16-May-16,1,1,0,256,256,,0,0,0,0,0,2,0,2016,21,5
0050219FB38B16F7,58,27-Apr-16,1,1,0,60,60,15,0,0,1,0,0,4,0,2016,18,4
0050219FB38B16F7,59,1-Feb-16,1,1,0,60,60,45,0,0,1,0,0,2,0,2016,6,2
0050219FB38B16F7,60,29-Jan-16,3,3,0,31,93,40.16666667,0,0,1,0,0,6,0,2016,5,1
0050219FB38B16F7,61,25-Jan-16,2,2,0,36,72,32.5,0,0,1,0,0,2,0,2016,5,1
0050219FB38B16F7,62,17-Oct-15,1,1,0,60,60,,0,0,0,0,0,7,1,2015,42,10
0050219FB38B16F7,63,9-Apr-15,1,1,0,73,73,,0,0,0,0,0,5,0,2015,15,4
0050219FB38B16F7,64,6-Jan-15,1,1,0,60,60,68,0,0,1,0,0,3,0,2015,2,1
0053F7F21AF16C7D,65,8-Dec-16,3,3,0,78.33333333,235,115.9,0,0,1,0,0,5,0,2016,50,12
0053F7F21AF16C7D,66,1-Nov-16,1,1,0,60,60,49.9,0,0,1,0,0,3,0,2016,45,11
0053F7F21AF16C7D,67,22-Oct-16,1,1,0,60,60,49.9,0,0,1,0,0,7,1,2016,43,10
0053F7F21AF16C7D,68,12-Dec-15,4,4,0,131,524,67.945,0,0,1,0,0,7,1,2015,50,12
0063903B948298C9,69,11-Nov-15,3,3,0,813.6666667,2441,46.19666667,0,0,1,0,0,4,0,2015,46,11
0063903B948298C9,70,18-Jun-15,5,5,0,86.8,434,46.06,1,1,1,1,1,5,0,2015,25,6
00663EE21B268E8A,71,25-Mar-15,2,2,0,62.5,125,19.5,1,1,1,1,1,4,0,2015,13,3
0069839AD0FAE6E2,72,6-Nov-15,2,2,0,223.5,447,58.95,0,0,1,0,0,6,0,2015,45,11
0069839AD0FAE6E2,73,26-Oct-15,1,1,0,120,120,19,0,0,1,0,0,2,0,2015,44,10
006BD192E7362A0D,74,14-Nov-16,2,2,0,241,482,77.9,0,0,1,0,0,2,0,2016,47,11
006BD192E7362A0D,75,9-Nov-16,18,18,0,366.5555556,6598,67.39595238,1,2,1,1,0,4,0,2016,46,11
006BD192E7362A0D,76,6-Nov-16,1,1,0,60,60,89.9,0,0,1,0,0,1,1,2016,46,11
006BD192E7362A0D,77,30-Oct-16,6,6,0,710.1666667,4261,84.66,0,0,1,0,0,1,1,2016,45,10
006E182EDB5A33C3,78,18-Jun-15,3,3,0,194.3333333,583,145.1666667,0,0,1,0,0,5,0,2015,25,6
006E182EDB5A33C3,79,6-Mar-15,1,1,0,60,60,49.9,0,0,1,0,0,6,0,2015,10,3
008C62890CACF0AD,80,17-Nov-16,1,1,0,60,60,82,0,0,1,0,0,5,0,2016,47,11
008C62890CACF0AD,81,9-Nov-16,4,4,0,1859.75,7439,158.5,1,1,1,1,1,4,0,2016,46,11
008C62890CACF0AD,82,16-Jun-15,1,1,0,60,60,129.9,0,0,1,0,1,3,0,2015,25,6
00A62514FCF38828,83,7-Sep-16,2,2,0,211.5,423,56.645,1,2,1,1,0,4,0,2016,37,9
00A62514FCF38828,84,23-Mar-16,1,1,0,67,67,32,1,1,1,1,0,4,0,2016,13,3
